Unnamed: 0,image,discriminator_score,race,hair_length,red_mean,green_mean,blue_mean,luminance
300,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/253_cropped.png,167.95225524902344,white,long,137.62727,118.24138,122.027374,0.48093113
301,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/784_cropped.png,166.2589569091797,white,long,195.4558,168.61429,140.8413,0.67575824
302,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/94_cropped.png,153.57984924316406,white,long,133.33281,141.74744,130.2459,0.54559946
303,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/249_cropped.png,133.14755249023438,white,long,97.83428,83.89152,77.29556,0.33874795
304,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/319_cropped.png,201.6096649169922,white,long,183.62312,150.84003,123.29626,0.6110755
305,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/572_cropped.png,136.96258544921875,white,long,138.95459,119.38679,113.020096,0.4827012
306,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/556_cropped.png,140.30870056152344,white,long,124.58034,90.66824,73.01597,0.37884873
307,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/684_cropped.png,136.6195831298828,white,long,95.33007,76.31128,67.40466,0.312601
308,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/396_cropped.png,181.5619659423828,white,long,197.06096,185.05296,179.54095,0.73415256
309,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/72_cropped.png,142.66043090820312,white,long,93.36324,72.31943,68.78843,0.30015695
310,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/328_cropped.png,156.52174377441406,white,long,107.786896,82.10481,77.01945,0.34195942
311,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/849_cropped.png,90.01861572265625,white,long,85.64697,68.68802,58.341385,0.28058037
312,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/872_cropped.png,171.3682098388672,white,long,171.83774,158.2481,156.12616,0.63131404
313,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/394_cropped.png,159.06686401367188,white,long,196.96347,178.08926,166.29099,0.71079135
314,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/51_cropped.png,176.35743713378906,white,long,193.25252,166.94289,144.43187,0.6702494
